# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 2.95301
2, 1.26929, , , 2.95301
3, 1.394462, , , 2.95301
4, 1.466786, , , 2.95301
5, 1.513897, , , 2.95301
6, 1.547022, , , 2.95301
7, 1.571585, , , 2.95301
8, 1.590525, , , 2.95301
9, 1.605574, , , 2.95301
10, 1.617821, , , 2.95301
11, 1.62798, , , 2.95301
12, 1.636545, , , 2.95301
13, 1.643862, , , 2.95301
14, 1.650187, , , 2.95301
15, 1.655707, , , 2.95301
16, 1.660568, , , 2.95301
